Filename,Cache Entry Offset (bytes),Cache Entry Size (bytes),Data Offset (bytes),Data Size (bytes),Data Checksum,Header Checksum,Cache Entry Hash,System,Location
"71027c5e380f61ad.bmp",24,7344,114,7254,e12f580642bf08a2,c1a03c89ca1280fd,71027c5e380f61ad,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"9b5d4e5ac10275ee.bmp",7368,7344,7458,7254,11cd62c706ea18f2,6225dbb2f256bb87,9b5d4e5ac10275ee,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"c0ddf77e85903bc0.bmp",14712,7344,14802,7254,9419eefec668cedb,16e61b2d59b6ee96,c0ddf77e85903bc0,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"b8bc11035be134b7.bmp",22056,7344,22146,7254,5d53cdd062347c02,570212d30ec7890b,b8bc11035be134b7,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"19e5d52c8bdcf5eb.bmp",29400,7344,29490,7254,91ab15cb56e9df93,ecdaefa1ae793231,19e5d52c8bdcf5eb,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"f2825caeeefdc45e.bmp",36744,7344,36834,7254,4c912949dd02ec26,c77009829c77b5a5,f2825caeeefdc45e,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"9315c081eab32718.bmp",44088,7344,44178,7254,60b484be67d01254,9e2e3526bfd5aa20,9315c081eab32718,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"3f9d4fa34a0ab2bf.bmp",51432,7344,51522,7254,db497ca3ef28d1a3,bae3b8f1e3e8a879,3f9d4fa34a0ab2bf,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"2b11e772caa3729d.bmp",58776,7344,58866,7254,7c659dbf33939612,ff268ada6d7b2402,2b11e772caa3729d,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"83d5a53e2f55f81e.bmp",66120,7344,66210,7254,6b8ecc75bc757afb,4c1f12a2dfd46e6b,83d5a53e2f55f81e,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"8a3d7687956b8d59.bmp",73464,7344,73554,7254,9634ca9b79271f6d,ccfc62372137ca61,8a3d7687956b8d59,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"8a8673f1f8372c07.bmp",80808,7344,80898,7254,1abeed70c26c7fa4,22927555b01b6d55,8a8673f1f8372c07,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"63b91685a0d24343.bmp",88152,7344,88242,7254,7db7e775301c4fc6,2dc9513ae7fe067c,63b91685a0d24343,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"fa6e03c9fc6befdf.bmp",95496,7344,95586,7254,ba98a97856206db5,b768b5a927fc7fb9,fa6e03c9fc6befdf,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"1d8b6d586194c654.bmp",102840,7344,102930,7254,b73f8f7ca3420c0b,b8a831c2027828bf,1d8b6d586194c654,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"3049687df5b2e678.bmp",110184,7344,110274,7254,5bf35f71bec9acb9,098d40ea294ec06e,3049687df5b2e678,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"254ba995b5507751.bmp",117528,7344,117618,7254,8e48e6221dbcfeef,171ab2d478319656,254ba995b5507751,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"89ba46b4b9e26f00.bmp",124872,7344,124962,7254,d7378883d5e8f941,3242e94d6d0ef832,89ba46b4b9e26f00,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"4203f03fe90ea392.bmp",132216,7344,132306,7254,2c60a23e2a66de5f,e2287e8d33c8f007,4203f03fe90ea392,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
