Filename,Cache Entry Offset (bytes),Cache Entry Size (bytes),Data Offset (bytes),Data Size (bytes),Data Checksum,Header Checksum,Cache Entry Hash,System,Location
"f62b6fae3d381a4e.bmp",24,7344,114,7254,f6258c511da8e682,a4cf470231776576,f62b6fae3d381a4e,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"cb3f3cd28089f559.bmp",7368,7344,7458,7254,b03a781d533ff25b,7c768448786abe61,cb3f3cd28089f559,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"7143f375bb018d24.bmp",14712,7344,14802,7254,39e753e94c6ac20c,6c9e1e0e4e96fff2,7143f375bb018d24,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"4eff6e2c17f74e09.bmp",22056,7344,22146,7254,81caf1dab4453025,945cf4199c50839f,4eff6e2c17f74e09,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"b2f7ae70d1ea1c0a.bmp",29400,7344,29490,7254,7356bc6e599e3776,a2b853466c96819c,b2f7ae70d1ea1c0a,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"f3139dfd0793a036.bmp",36744,7344,36834,7254,3d6fbb2ba3a81159,8c48ab167342a1ac,f3139dfd0793a036,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"b4ac8619da88a23c.bmp",44088,7344,44178,7254,79c445ddfbbbab62,6b2153d5d770e389,b4ac8619da88a23c,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"8db027f96752b626.bmp",51432,7344,51522,7254,8aa3a5df6e796b64,372c23e07a7ec7aa,8db027f96752b626,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"da2e3eab95ffbc10.bmp",58776,7344,58866,7254,623d948b2faff45e,c7cd845cd841e805,da2e3eab95ffbc10,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"58ce6586fa29f715.bmp",66120,7344,66210,7254,ebdc6417fe5671b0,39ce002d21b0a9ab,58ce6586fa29f715,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
"ceca1022fc2b7d9d.bmp",73464,7344,73554,7254,54bbf20829040771,0199f4a2c1c73eff,ceca1022fc2b7d9d,Windows 10,"C:\Users\anmez\AppData\Local\Microsoft\Windows\Explorer\thumbcache_48.db"
